Чек-лист и результаты выполнения тестов: тестирование вёрстки,,,,,
,,,,,
№,Описание проверки,"""Окружение 1
(Windows 7 х64, Яндекс.Браузер Версия
22.3.3.855  800x600)""
",Ссылка на баг-репорт,"""Окружение 2
(Windows 7 х64, FireFox Версия
99.0.1 (32 бита) 1920x1080)""
",Ссылка на баг-репорт
18,"В режиме ""Оптимальный"" и ""Быстрый"", при веденных валидных значениях адреса, отображается нажатой кнопка вида транспорта, которую выбрала система.",PASSED,,PASSED,
19,"Иконка транспорта ""собственный автомобиль"" соответствует надписи в макете.",PASSED,,PASSED,
20,"Иконка транспорта ""пешком"" соответствует надписи в макете.",PASSED,,PASSED,
21,"Иконка транспорта ""такси"" соответствует надписи в макете.",PASSED,,PASSED,
22,"Иконка транспорта ""велосипед"" соответствует надписи в макете.",PASSED,,PASSED,
23,"Иконка транспорта ""самокат"" соответствует надписи в макете.",PASSED,,PASSED,
24,"Иконка транспорта ""каршеринг"" соответствует надписи в макете.",FAILED,BUG-598817,FAILED,BUG-598809
25,"Стартовое состояние формы бронирования - выбран тариф Повседневный, поля «Добавить права» и «Способ оплаты» пустые",PASSED,,PASSED,
26,"Для выбора доступно три тарифа: Повседневный, Походный, Роскошный",PASSED,,PASSED,
"ФОРМА БРОНИРОВАНИЯ ТАРИФА ""РОСКОШНЫЙ""",,,,,
1,"При нажатии на кнопку забронировать,выбирается тариф ""Повседневный""",PASSED,,PASSED,
2,"Выбирам тариф ""Роскошный"" путем кликания по иконке данного тарифа",PASSED,,PASSED,
3,Размер иконки тарифа находится в соответствии с макетом.,FAILED,BUG-600670,FAILED,BUG-600682
4,Иконка вида тарифа соответствует макету по дизайну.,FAILED,BUG-600704,FAILED,BUG-601486
5,"При наведении на иконку тарифа, меняется вид курсора.",PASSED,,PASSED,
6,"Полоса прокрутки (scrollbar) двигается с помощью кнопок: Page up и Page down, Home и End.",PASSED,,FAILED,
7,Полоса прокрутки (scrollbar) двигается с помощью прокрутки колеса мышки.,PASSED,,PASSED,
8,"При клике по чекбоксу ""Светомузыка"", становится выбран/не выбран.",PASSED,,PASSED,
9,"При клике по радиокнопке в пунке ""Развлечься"", выбирается один пункт.",FAILED,BUG-601549,FAILED,BUG-601558
10,"При клике по счётчику в пункте ""Очки для крутоты"", можно выбрать от 0 до 3 включительно.",PASSED,,PASSED,
11,"Кнопка ""Забронировать"", соответствует макету.",PASSED,,PASSED,
12,"Кнопка ""Забронировать"", соответствует макету по дизайну.",PASSED,,PASSED,
13,"При нажатии на кнопку ""Забронировать"", появляется окно с бронью автомобиля и включается таймер бесплатного времени ожидания.",PASSED,,PASSED,
14,"Окно с информацией о бронировании авто,соответствует требованиям.",FAILED,BUG-608193,FAILED,BUG-608181
15,"Окно с информацией о бронировании авто,соответствует макету по дизайну.",PASSED,,PASSED,
16,"В окне с информацией о бронировании авто, можно отменить заказ.",FAILED,BUG-608226,FAILED,BUG-608231
17,"В окне с информацией о бронировании авто, можно просмотреть информацию о поездке.",FAILED,BUG-608262,FAILED,BUG-608250
18,"В окне с информацией о бронировании авто, можно перейти в ""подтверждение отмены бронирования""",FAILED,BUG-668731,FAILED,BUG-668664
19,"В окне с информацией о бронировании авто, после подтверждения отмены бронирования,можно отменить бронирование машины",FAILED,BUG-668736,FAILED,BUG-668740
,,,,,
КАРТА,,,,,
1,"Иконка выбранного автомобиля на карте, соответствует требованиям",FAILED,BUG-608339,FAILED,BUG-608350
2,"Увеличение масштаба карты нажатием кнопки "" + "".",PASSED,,PASSED,
3,"Уменьшение масштаба карты нажатием кнопки "" - "".",PASSED,,PASSED,
4,Увеличение масштаба карты скроллом вверх ползунка масштабирования.,PASSED,,PASSED,
5,Уменьшение масштаба карты скроллом вниз ползунка масштабирования.,PASSED,,PASSED,
6,Увеличение масштаба карты скроллом мыши.,PASSED,,PASSED,
7,Уменьшение масштаба карты скроллом мыши.,PASSED,,PASSED,
8,"Перемещние карты, удерживая кнопку мыши.",PASSED,,PASSED,
9,Нельзя установить точку маршрута при помощи карты.,PASSED,,PASSED,
10,Нельзя передвинуть точку маршрута на карте .,PASSED,,PASSED,
11,"При пустых полях ввода точек маршрута, маршрут на карте не отображаются.",PASSED,,PASSED,
12,"При невалидном значении поля ""Откуда"", точка А не отображается на карте.",PASSED,,PASSED,
13,"При невалидном значении поля ""Куда"", точка В не отображается на карте.",PASSED,,PASSED,
14,"При валидных значениях поля ""Откуда"" и при выбранном режиме ""Оптимальный"", на карте отображается иконка точки маршрута А.",PASSED,,PASSED,
15,"При валидных значениях поля ""Откуда"", и при выбранном режиме ""Быстрый"", на карте отображается иконка точки маршрута А.",PASSED,,PASSED,
16,"При валидных значениях поля ""Откуда"" и при выбранном режиме ""Свой"", и транспорте ""каршеринг"", на карте отображается иконка точки маршрута А.",PASSED,,PASSED,
17,Иконка точки А соответствуют макету по дизайну.,PASSED,,PASSED,
18,"Текст в иконке точки А не имеет орфографических ошибок и соответствует адресу в поле ввода ""Откуда"".",PASSED,,PASSED,
19,"Расположение иконки точки А на карте соответствует адресу в поле ввода ""Откуда"".",PASSED,,PASSED,
20,"Привалидных значениях поля ""Куда"" и при выбранном режиме ""Оптимальный"", на карте отображается иконка точки маршрута В.",PASSED,,PASSED,
21,"Привалидных значениях поля ""Куда"" и при выбранном режиме ""Быстрый"", на карте отображается иконка точки маршрута В.",PASSED,,PASSED,
22,"Привалидных значениях поля ""Куда"" и при выбранном режиме ""Свой"",и транспорте ""каршеринг"", на карте отображается иконка точки маршрута В.",PASSED,,PASSED,
23,Иконка точки В соответствуют макету по дизайну.,PASSED,,PASSED,
24,"Текст в иконке точки В не имеет орфографических ошибок и соответствует адресу в поле ввода ""Откуда"".",PASSED,,PASSED,
25,"Расположение иконки точки В на карте соответствует адресу в поле ввода ""Откуда"".",PASSED,,PASSED,
26,"Линия маршрута при выборе транспорта ""Каршеринг"" сплошная, фиолетовая.",PASSED,,PASSED,
27,"Привалидных значениях  поля ""Откуда"" и ""Куда"" и при выбранном режиме ""Оптимальный"", на карте отображается иконка точки маршрута А и В и линия маршрута.",PASSED,,PASSED,
28,"Привалидных значениях поля ""Откуда"" и ""Куда"" и при выбранном режиме ""Быстрый"", на карте отображается иконка точки маршрута А и В и линия маршрута.",PASSED,,PASSED,
29,"Привалидных значениях поля ""Откуда"" и ""Куда"" и при выбранном режиме ""Свой"", на карте отображается иконка точки маршрута А и В и линия маршрута.",PASSED,,PASSED,
30,"При удалении данных из поля ""Откуда"", точки А и В, линия маршрута перестают отображаться на карте.",PASSED,,PASSED,
31,"При удалении данных из поля ""Куда"", точки А и В, линия маршрута перестают отображаться на карте.",PASSED,,PASSED,
32,"После выбора транспорта,все машинки на карте располагаются по направлению дорог",FAILED,BUG-668783,FAILED,BUG-668777
33,"Машины на карте, соответствуют дизайн макету",PASSED,,FAILED,BUG-668816
ПОДВАЛ,,,,,
,"Фраза "" © Яндекс Условия использования"" соответствует макету дизайна.",PASSED,,PASSED,
,"При клике ""Условия использования"", переходит в https://yandex.ru/legal/maps_termsofuse/?lang=ru",PASSED,,PASSED,
,"При наведении на кнопку ""Условия использования"", меняется вид курсора.",PASSED,,PASSED,
,"При наведении на кнопку ""Условия использования"", меняется цвет кнопки.",PASSED,,PASSED,
